id_negocio,id_interno_negocio,cedula,nombre,apellido,modalidad,producto,telefono1,telefono2,telefono3,telefono4,telefono5,telefono6,intentos_llamada,win_tries,win_stamp,estado_flujo,fecha_reagenda,telefono_index
SIM-0020,INT-0020,1700000020,Paola,Paredes,POSGRADO,GESTION DE LA CALIDAD,0999999001,0999999002,,,,,0,0,,PENDIENTE,,0
SIM-0021,INT-0021,1700000021,Victor,Perez,MODALIDAD EN LINEA,ADMINISTRACION DE EMPRESAS,0999999009,0999999010,,,,,3,0,,REINTENTAR,2026-05-27T15:00:00.000Z,3
SIM-0022,INT-0022,1700000022,Rosa,Gomez,POSGRADO,BIOECONOMIA,0999999011,,,,,,4,1,MANANA_2026-05-21,REINTENTAR,2026-05-27T15:00:00.000Z,4
SIM-0023,INT-0023,1700000023,Oscar,Lopez,TECNOLOGICO,CONTABILIDAD Y ASESORIA TRIBUTARIA,0999999012,0999999013,,,,,5,2,,REINTENTAR,2026-05-27T15:00:00.000Z,5
SIM-0024,INT-0024,1700000024,Natalia,Rodriguez,MODALIDAD EN LINEA,EDUCACION BASICA,0999999014,0999999015,,,,,6,0,MANANA_2026-05-23,REINTENTAR,2026-05-27T15:00:00.000Z,6
SIM-0025,INT-0025,1700000025,Roberto,Martinez,POSGRADO,DERECHO PENAL,0999999016,,,,,,7,1,,REINTENTAR,2026-05-27T15:00:00.000Z,7
SIM-0026,INT-0026,1700000026,Adriana,Sanchez,TECNOLOGICO,CREACION AUDIOVISUAL DIGITAL,0999999017,0999999018,,,,,8,2,MANANA_2026-05-25,REINTENTAR,2026-05-27T15:00:00.000Z,8
SIM-0027,INT-0027,1700000027,Gustavo,Torres,MODALIDAD EN LINEA,DERECHO,0999999019,,,,,,3,0,,REINTENTAR,2026-05-27T15:00:00.000Z,3
SIM-0028,INT-0028,1700000028,Monica,Ramirez,POSGRADO,SEGURIDAD INDUSTRIAL,0999999020,0999999021,,,,,4,1,MANANA_2026-05-27,REINTENTAR,2026-05-27T15:00:00.000Z,4
SIM-0029,INT-0029,1700000029,Ricardo,Flores,TECNOLOGICO,MODELADO BIM,0999999022,0999999023,,,,,5,2,,REINTENTAR,2026-05-27T15:00:00.000Z,5
SIM-0030,INT-0030,1700000030,Tatiana,Vargas,MODALIDAD EN LINEA,CONTABILIDAD Y AUDITORIA,0999999024,,,,,,6,0,MANANA_2026-05-29,REINTENTAR,2026-05-27T15:00:00.000Z,6
SIM-0031,INT-0031,1700000031,Juan,Morales,POSGRADO,GESTION DE LA CALIDAD,0999999025,,,,,,7,1,,REINTENTAR,2026-05-27T15:00:00.000Z,7
SIM-0032,INT-0032,1700000032,Maria,Ruiz,TECNOLOGICO,NEGOCIACION Y VENTAS,0999999026,0999999027,,,,,8,2,MANANA_2026-05-31,REINTENTAR,2026-05-27T15:00:00.000Z,8
SIM-0033,INT-0033,1700000033,Carlos,Ortiz,MODALIDAD EN LINEA,COMUNICACION,0999999028,,,,,,3,0,,REINTENTAR,2026-05-27T15:00:00.000Z,3
SIM-0034,INT-0034,1700000034,Ana,Castro,POSGRADO,GERENCIA DE INSTITUCIONES DE SALUD,0999999029,0999999030,,,,,4,1,MANANA_2026-05-33,REINTENTAR,2026-05-27T15:00:00.000Z,4
SIM-0035,INT-0035,1700000035,Pedro,Herrera,TECNOLOGICO,CREACION AUDIOVISUAL DIGITAL,0999999001,0999999002,,,,,5,2,,REINTENTAR,2026-05-27T15:00:00.000Z,5
SIM-0036,INT-0036,1700000036,Laura,Medina,MODALIDAD EN LINEA,TECNOLOGIAS DE LA INFORMACION,0999999017,0999999018,,,,,6,3,MANANA_2026-05-20,REINTENTAR,2026-05-27T14:30:00.000Z,0
SIM-0037,INT-0037,1700000037,Luis,Reyes,POSGRADO,GESTION FINANCIERA,0999999019,,,,,,7,3,MANANA_2026-05-21,REINTENTAR,2026-05-27T14:30:00.000Z,1
SIM-0038,INT-0038,1700000038,Sofia,Mendoza,TECNOLOGICO,MODELADO BIM,0999999020,0999999021,,,,,8,3,MANANA_2026-05-22,REINTENTAR,2026-05-27T14:30:00.000Z,0
SIM-0039,INT-0039,1700000039,Diego,Silva,MODALIDAD EN LINEA,PSICOLOGIA,0999999022,0999999023,,,,,9,3,MANANA_2026-05-23,REINTENTAR,2026-05-27T14:30:00.000Z,1
SIM-0040,INT-0040,1700000040,Elena,Paredes,POSGRADO,GESTION FINANCIERA,0999999024,,,,,,10,3,MANANA_2026-05-24,REINTENTAR,2026-05-27T14:30:00.000Z,0
SIM-0041,INT-0041,1700000041,Andres,Perez,TECNOLOGICO,MODELADO BIM,0999999025,,,,,,6,3,MANANA_2026-05-25,REINTENTAR,2026-05-28T14:30:00.000Z,0
SIM-0042,INT-0042,1700000042,Valentina,Gomez,MODALIDAD EN LINEA,PSICOLOGIA,0999999026,0999999027,,,,,7,3,MANANA_2026-05-26,REINTENTAR,2026-05-28T14:30:00.000Z,1
SIM-0043,INT-0043,1700000043,Jose,Lopez,POSGRADO,DERECHO PENAL,0999999028,,,,,,8,3,MANANA_2026-05-27,REINTENTAR,2026-05-28T14:30:00.000Z,0
SIM-0044,INT-0044,1700000044,Camila,Rodriguez,TECNOLOGICO,CONTABILIDAD Y ASESORIA TRIBUTARIA,0999999029,0999999030,,,,,9,3,MANANA_2026-05-28,REINTENTAR,2026-05-28T14:30:00.000Z,1
SIM-0045,INT-0045,1700000045,Miguel,Martinez,MODALIDAD EN LINEA,CONTABILIDAD Y AUDITORIA,0999999001,0999999002,,,,,10,3,MANANA_2026-05-29,REINTENTAR,2026-05-28T14:30:00.000Z,0
SIM-0046,INT-0046,1700000046,Daniela,Sanchez,MODALIDAD EN LINEA,EDUCACION BASICA,0999999006,0999999007,,,,,14,0,TARDE_2026-05-22,REINTENTAR,2026-05-27T19:00:00.000Z,2
SIM-0047,INT-0047,1700000047,Fernando,Torres,POSGRADO,GESTION FINANCIERA,0999999008,,,,,,15,1,TARDE_2026-05-23,REINTENTAR,2026-05-27T19:00:00.000Z,1
SIM-0048,INT-0048,1700000048,Gabriela,Ramirez,TECNOLOGICO,MARKETING TURISTICO DIGITAL,0999999009,0999999010,,,,,14,2,TARDE_2026-05-24,REINTENTAR,2026-05-27T19:00:00.000Z,1
SIM-0049,INT-0049,1700000049,Javier,Flores,MODALIDAD EN LINEA,FINANZAS,0999999011,,,,,,15,0,TARDE_2026-05-25,REINTENTAR,2026-05-27T19:00:00.000Z,0
SIM-0050,INT-0050,1700000050,Paola,Vargas,POSGRADO,GESTION DE LA CALIDAD,0999999012,0999999013,,,,,14,1,TARDE_2026-05-26,REINTENTAR,2026-05-27T19:00:00.000Z,0
SIM-0051,INT-0051,1700000051,Victor,Morales,TECNOLOGICO,CREACION AUDIOVISUAL DIGITAL,0999999014,0999999015,,,,,15,2,TARDE_2026-05-27,REINTENTAR,2026-05-27T19:00:00.000Z,2
SIM-0052,INT-0052,1700000052,Rosa,Ruiz,MODALIDAD EN LINEA,ADMINISTRACION DE EMPRESAS,0999999016,,,,,,14,0,TARDE_2026-05-28,REINTENTAR,2026-05-27T19:00:00.000Z,2
SIM-0053,INT-0053,1700000053,Oscar,Ortiz,POSGRADO,DERECHO TRIBUTARIO,0999999017,0999999018,,,,,15,1,TARDE_2026-05-29,REINTENTAR,2026-05-27T19:00:00.000Z,1
SIM-0054,INT-0054,1700000054,Natalia,Castro,TECNOLOGICO,NEGOCIACION Y VENTAS,0999999019,,,,,,14,2,TARDE_2026-05-30,REINTENTAR,2026-05-27T19:00:00.000Z,1
SIM-0055,INT-0055,1700000055,Roberto,Herrera,MODALIDAD EN LINEA,ADMINISTRACION DE EMPRESAS,0999999020,0999999021,,,,,15,0,TARDE_2026-05-31,REINTENTAR,2026-05-27T19:00:00.000Z,0
SIM-0056,INT-0056,1700000056,Adriana,Medina,POSGRADO,SEGURIDAD INDUSTRIAL,0999999022,0999999023,,,,,14,1,TARDE_2026-05-22,REINTENTAR,2026-05-27T19:00:00.000Z,0
SIM-0057,INT-0057,1700000057,Gustavo,Reyes,TECNOLOGICO,CONTABILIDAD Y ASESORIA TRIBUTARIA,0999999024,,,,,,15,2,TARDE_2026-05-23,REINTENTAR,2026-05-27T19:00:00.000Z,2
SIM-0058,INT-0058,1700000058,Monica,Mendoza,MODALIDAD EN LINEA,TURISMO,0999999025,,,,,,14,0,TARDE_2026-05-24,REINTENTAR,2026-05-27T19:00:00.000Z,2
SIM-0059,INT-0059,1700000059,Ricardo,Silva,POSGRADO,DERECHO CONSTITUCIONAL,0999999026,0999999027,,,,,15,1,TARDE_2026-05-25,REINTENTAR,2026-05-27T19:00:00.000Z,1
SIM-0060,INT-0060,1700000060,Tatiana,Paredes,TECNOLOGICO,CONTABILIDAD Y ASESORIA TRIBUTARIA,0999999028,,,,,,14,2,TARDE_2026-05-26,REINTENTAR,2026-05-27T19:00:00.000Z,1
SIM-0061,INT-0061,1700000061,Juan,Perez,MODALIDAD EN LINEA,FINANZAS,0999999001,0999999002,,,,,16,3,NOCHE_2026-05-27,REINTENTAR,2026-05-28T00:00:00.000Z,0
SIM-0062,INT-0062,1700000062,Maria,Gomez,POSGRADO,SEGURIDAD INDUSTRIAL,0999999003,,,,,,16,3,NOCHE_2026-05-27,REINTENTAR,2026-05-28T00:00:00.000Z,0
SIM-0063,INT-0063,1700000063,Carlos,Lopez,TECNOLOGICO,CONTABILIDAD Y ASESORIA TRIBUTARIA,0999999004,0999999005,,,,,16,3,NOCHE_2026-05-27,REINTENTAR,2026-05-28T00:00:00.000Z,0
SIM-0064,INT-0064,1700000064,Ana,Rodriguez,MODALIDAD EN LINEA,TURISMO,0999999006,0999999007,,,,,16,3,NOCHE_2026-05-27,REINTENTAR,2026-05-28T00:00:00.000Z,0
SIM-0065,INT-0065,1700000065,Pedro,Martinez,POSGRADO,GERENCIA DE INSTITUCIONES DE SALUD,0999999008,,,,,,16,3,NOCHE_2026-05-27,REINTENTAR,2026-05-28T00:00:00.000Z,0
SIM-0066,,1700000066,Laura,Sanchez,MODALIDAD EN LINEA,ECONOMIA,,,,,,,0,0,,PENDIENTE,,0
SIM-0067,,1700000067,Luis,Torres,POSGRADO,GERENCIA DE INSTITUCIONES DE SALUD,,,,,,,0,0,,PENDIENTE,,0
SIM-0068,,1700000068,Sofia,Ramirez,TECNOLOGICO,MARKETING TURISTICO DIGITAL,,,,,,,0,0,,PENDIENTE,,0
SIM-0069,,1700000069,Diego,Flores,MODALIDAD EN LINEA,DERECHO,,,,,,,0,0,,PENDIENTE,,0
SIM-0070,,1700000070,Elena,Vargas,POSGRADO,GESTION FINANCIERA,,,,,,,0,0,,PENDIENTE,,0
SIM-0071,INT-0071,1700000071,Andres,Morales,MODALIDAD EN LINEA,COMUNICACION,0999999012,0999999013,,,,,2,0,,REINTENTAR,2026-05-29T14:00:00.000Z,0
SIM-0072,INT-0072,1700000072,Valentina,Ruiz,POSGRADO,DERECHO CONSTITUCIONAL,0999999014,0999999015,,,,,3,1,,REINTENTAR,2026-05-29T14:00:00.000Z,1
SIM-0073,INT-0073,1700000073,Jose,Ortiz,TECNOLOGICO,NEGOCIACION Y VENTAS,0999999016,,,,,,4,0,,REINTENTAR,2026-05-29T14:00:00.000Z,0
SIM-0074,INT-0074,1700000074,Camila,Castro,MODALIDAD EN LINEA,ECONOMIA,0999999017,0999999018,,,,,2,1,,REINTENTAR,2026-05-29T14:00:00.000Z,1
SIM-0075,INT-0075,1700000075,Miguel,Herrera,POSGRADO,SEGURIDAD INDUSTRIAL,0999999019,,,,,,3,0,,REINTENTAR,2026-05-29T14:00:00.000Z,0
SIM-0076,INT-0076,1700000076,Daniela,Medina,TECNOLOGICO,CREACION AUDIOVISUAL DIGITAL,0999999020,0999999021,,,,,4,1,,REINTENTAR,2026-05-29T14:00:00.000Z,1
SIM-0077,INT-0077,1700000077,Fernando,Reyes,MODALIDAD EN LINEA,EDUCACION BASICA,0999999022,0999999023,,,,,2,0,,REINTENTAR,2026-05-29T14:00:00.000Z,0
SIM-0078,INT-0078,1700000078,Gabriela,Mendoza,POSGRADO,SEGURIDAD INDUSTRIAL,0999999024,,,,,,3,1,,REINTENTAR,2026-05-29T14:00:00.000Z,1
SIM-0079,INT-0079,1700000079,Javier,Silva,TECNOLOGICO,MARKETING TURISTICO DIGITAL,0999999025,,,,,,4,0,,REINTENTAR,2026-05-29T14:00:00.000Z,0
SIM-0080,INT-0080,1700000080,Paola,Paredes,MODALIDAD EN LINEA,ADMINISTRACION DE EMPRESAS,0999999026,0999999027,,,,,2,1,,REINTENTAR,2026-05-29T14:00:00.000Z,1
SIM-0081,INT-0081,1700000081,Victor,Perez,MODALIDAD EN LINEA,TURISMO,0999999001,0999999002,,,,,0,0,,PENDIENTE,,0
SIM-0082,INT-0082,1700000082,Rosa,Gomez,POSGRADO,DERECHO CONSTITUCIONAL,0999999003,,,,,,3,0,MANANA_2026-05-21,REINTENTAR,2026-05-27T16:00:00.000Z,1
SIM-0083,INT-0083,1700000083,Oscar,Lopez,TECNOLOGICO,NEGOCIACION Y VENTAS,0999999004,0999999005,,,,,6,0,MANANA_2026-05-22,REINTENTAR,2026-05-27T17:00:00.000Z,0
SIM-0084,INT-0084,1700000084,Natalia,Rodriguez,MODALIDAD EN LINEA,CONTABILIDAD Y AUDITORIA,0999999006,0999999007,,,,,6,0,MANANA_2026-05-23,REINTENTAR,2026-05-27T18:00:00.000Z,0
SIM-0085,INT-0085,1700000085,Roberto,Martinez,POSGRADO,BIOECONOMIA,0999999008,,,,,,9,0,MANANA_2026-05-24,REINTENTAR,2026-05-27T19:00:00.000Z,1
SIM-0086,INT-0086,1700000086,Adriana,Sanchez,TECNOLOGICO,CREACION AUDIOVISUAL DIGITAL,0999999009,0999999010,,,,,12,0,MANANA_2026-05-25,REINTENTAR,2026-05-27T20:00:00.000Z,0
SIM-0087,,1700000087,Gustavo,Torres,MODALIDAD EN LINEA,DERECHO,0999999011,,,,,,0,0,,PENDIENTE,,0
SIM-0088,,1700000088,Monica,Ramirez,POSGRADO,GESTION FINANCIERA,0999999012,0999999013,,,,,3,0,MANANA_2026-05-27,REINTENTAR,2026-05-27T15:00:00.000Z,1
SIM-0089,,1700000089,Ricardo,Flores,TECNOLOGICO,CONTABILIDAD Y ASESORIA TRIBUTARIA,0999999014,0999999015,,,,,6,0,MANANA_2026-05-28,REINTENTAR,2026-05-27T16:00:00.000Z,0
SIM-0090,,1700000090,Tatiana,Vargas,MODALIDAD EN LINEA,EDUCACION BASICA,0999999016,,,,,,6,0,MANANA_2026-05-29,REINTENTAR,2026-05-27T17:00:00.000Z,0
SIM-0091,,1700000091,Juan,Morales,POSGRADO,DERECHO PENAL,0999999017,0999999018,,,,,9,0,MANANA_2026-05-30,REINTENTAR,2026-05-27T18:00:00.000Z,1
SIM-0092,,1700000092,Maria,Ruiz,TECNOLOGICO,CONTABILIDAD Y ASESORIA TRIBUTARIA,0999999019,,,,,,12,0,MANANA_2026-05-31,REINTENTAR,2026-05-27T19:00:00.000Z,0
SIM-0093,,1700000093,Carlos,Ortiz,MODALIDAD EN LINEA,CONTABILIDAD Y AUDITORIA,0999999020,0999999021,,,,,0,0,,PENDIENTE,,0
SIM-0094,,1700000094,Ana,Castro,MODALIDAD EN LINEA,TURISMO,0999999025,,,,,,0,0,,PENDIENTE,,0
SIM-0095,,1700000095,Pedro,Herrera,POSGRADO,GESTION DE LA CALIDAD,0999999026,,,,,,0,0,,PENDIENTE,,0
SIM-0096,,1700000096,Laura,Medina,TECNOLOGICO,MARKETING TURISTICO DIGITAL,0999999028,,,,,,0,0,,PENDIENTE,,0
SIM-0097,,1700000097,Luis,Reyes,MODALIDAD EN LINEA,TURISMO,0999999029,,,,,,0,0,,PENDIENTE,,0
SIM-0098,,1700000098,Sofia,Mendoza,POSGRADO,GESTION DE LA CALIDAD,0999999001,,,,,,0,0,,PENDIENTE,,0
SIM-0099,,1700000099,Diego,Silva,TECNOLOGICO,MARKETING TURISTICO DIGITAL,0999999003,,,,,,0,0,,PENDIENTE,,0
SIM-0100,,1700000100,Elena,Paredes,MODALIDAD EN LINEA,CONTABILIDAD Y AUDITORIA,0999999004,,,,,,0,0,,PENDIENTE,,0
